,role_0,role_1
A (First Raikage),0.9758613430273431,0.024138656972656925
Ameyuri Ringo,0.3968654522821654,0.6031345477178347
Araya,0.9880515276698755,0.011948472330124506
Asuma Sarutobi,0.23123624222198108,0.7687637577780189
Asura Otsutsuki,0.29390534382406375,0.7060946561759361
Azami Nakiri,0.9844915656926156,0.015508434307384382
Boruto Uzumaki,0.1806004007117577,0.8193995992882422
Buntan Kurosuki,0.9880515276698755,0.011948472330124506
Byakuren,0.29390534382406375,0.7060946561759361
Chiyo,0.9758613430273431,0.024138656972656925
Chocho Akimichi,0.40630948930861954,0.5936905106913805
Choji Akimichi,0.20939232904054841,0.7906076709594516
Chouza Akimichi,0.5,0.5
Dan Katou,0.6047403187991931,0.3952596812008069
Deidara,0.5,0.5
Ebisu,0.5,0.5
Ebizou,0.9758613430273431,0.024138656972656925
Freyja Wion,0.9880515276698755,0.011948472330124506
Fugaku Uchiha,0.35533273332296367,0.6446672666770363
Gaara,0.31861385826507543,0.6813861417349245
Gengetsu Hozuki (Second Mizukage),0.9880515276698755,0.011948472330124506
Hagoromo Otsutsuki,0.9758613430273431,0.024138656972656925
Haku,0.9880515276698755,0.011948472330124506
Hamura Otsutsuki,0.9758613430273431,0.024138656972656925
Hana Inuzuka,0.9758613430273431,0.024138656972656925
Hanabi Hyuga,0.28475105853049404,0.715248941469506
Hanzo of the Salamander,0.31049931618271887,0.689500683817281
Hashirama Senju,0.16896472172257632,0.8310352782774236
Hassaku Onomichi,0.9880515276698755,0.011948472330124506
Hebiichigo,0.9898089037670065,0.01019109623299357
Hiashi Hyuga,0.7060946561759361,0.29390534382406375
Himawari Uzumaki,0.1806004007117577,0.8193995992882422
Hinata Hyuga,0.2626450441657735,0.7373549558342265
Hinata Hyuga (child),0.31049931618271887,0.689500683817281
Hiruzen Sarutobi,0.12497650693054889,0.875023493069451
Hizashi Hyuga,0.35533273332296367,0.6446672666770363
Homura Mitokado,0.4598699879282251,0.5401300120717749
Ichirota Oniyuzu,0.9880515276698755,0.011948472330124506
Indra Otsutsuki,0.5,0.5
Ino Yamanaka,0.14415081756021283,0.8558491824397872
Inoichi Yamanaka,0.3444257319224054,0.6555742680775946
Inojin Yamanaka,0.2973247620919599,0.7026752379080401
Iruka Umino,0.15686588303620874,0.8431341169637913
Ishikawa,0.29390534382406375,0.7060946561759361
Itachi Uchiha,0.23123624222198108,0.7687637577780189
Izuna Uchiha,0.565715170703003,0.43428482929699697
JK,0.9844915656926156,0.015508434307384382
Jinin Akebino,0.31861385826507543,0.6813861417349245
Jinpachi Munashi,0.2949631035345704,0.7050368964654297
Jiraiya,0.1806004007117577,0.8193995992882422
Jiraiya (young),0.9898089037670065,0.01019109623299357
Juzo Biwa,0.3459431247113006,0.6540568752886993
Kaguya Otsutsuki,0.9758613430273431,0.024138656972656925
Kakashi Hatake,0.20939232904054841,0.7906076709594516
Kankurou,0.2626450441657735,0.7373549558342265
Karatachi Yagura,0.6109329153859926,0.38906708461400746
Karin Uzumaki,0.9898089037670065,0.01019109623299357
Karui,0.9898089037670065,0.01019109623299357
Karura,0.35533273332296367,0.6446672666770363
Kiba Inuzuka,0.2973247620919599,0.7026752379080401
Kisame Hoshigaki,0.31861385826507543,0.6813861417349245
Koharu Utatane,0.4598699879282251,0.5401300120717749
Konan,0.5,0.5
Konohamaru Sarutobi,0.28475105853049404,0.715248941469506
Kumi Mashiba,0.9880515276698755,0.011948472330124506
Kurenai Yuhi,0.3444257319224054,0.6555742680775946
Kurotsuchi,0.9758613430273431,0.024138656972656925
Kushimaru Kuriarare,0.31861385826507543,0.6813861417349245
Kushina Uzumaki,0.31861385826507543,0.6813861417349245
Kyoho Fuefuki,0.9898089037670065,0.01019109623299357
Madara Uchiha,0.2973247620919599,0.7026752379080401
Mangetsu Houzuki,0.3459431247113006,0.6540568752886993
Menma Uzumaki,0.3459431247113006,0.6540568752886993
Mifune,0.9880515276698755,0.011948472330124506
Might Duy,0.9758613430273431,0.024138656972656925
Might Guy,0.3444257319224054,0.6555742680775946
Mikoto Uchiha,0.35533273332296367,0.6446672666770363
Minato Namikaze,0.2056384864754064,0.7943615135245936
Mito Uzumaki,0.3459431247113006,0.6540568752886993
Mitsuki,0.44562169488590536,0.5543783051140946
Moegi Kazamatsuri,0.3444257319224054,0.6555742680775946
Mu,0.9758613430273431,0.024138656972656925
Nagato Uzumaki ,0.5,0.5
Naruto Uzumaki,0.11391784763909268,0.8860821523609073
Nawaki,0.44562169488590536,0.5543783051140946
Neji Hyuga,0.21472833917251657,0.7852716608274835
Onoki,0.9758613430273431,0.024138656972656925
Orochimaru,0.1806004007117577,0.8193995992882422
Pain,0.9880515276698755,0.011948472330124506
Quincy Issa,0.9880515276698755,0.011948472330124506
Raiga Kurosuki,0.2949631035345704,0.7050368964654297
Rasa,0.40630948930861954,0.5936905106913805
Reto,0.9758613430273431,0.024138656972656925
Rin Nohara,0.9758613430273431,0.024138656972656925
Rock Lee,0.3444257319224054,0.6555742680775946
Sai,0.9844915656926156,0.015508434307384382
Sakumo Hatake,0.6109329153859926,0.38906708461400746
Sakura Haruno,0.17933362143207926,0.8206663785679208
Sarada Uchiha,0.1806004007117577,0.8193995992882422
Sasori,0.38906708461400746,0.6109329153859926
Sasuke Uchiha,0.14415081756021283,0.8558491824397872
Shibi Aburame,0.9844915656926156,0.015508434307384382
Shikadai Nara,0.23123624222198108,0.7687637577780189
Shikaku Nara,0.35533273332296367,0.6446672666770363
Shikamaru Nara,0.14415081756021283,0.8558491824397872
Shinki,0.23123624222198108,0.7687637577780189
Shino Aburame,0.2973247620919599,0.7026752379080401
Shisui Uchiha,0.9898089037670065,0.01019109623299357
Shizuma Hoshigaki,0.9898089037670065,0.01019109623299357
Shizune,0.6047403187991931,0.3952596812008069
Suigetsu Houzuki,0.9880515276698755,0.011948472330124506
Temari,0.31861385826507543,0.6813861417349245
TenTen,0.5,0.5
Tenji,0.9758613430273431,0.024138656972656925
Third Kazekage,0.9844915656926156,0.015508434307384382
Tobi,0.2507026195569048,0.7492973804430951
Tobirama Senju,0.15686588303620874,0.8431341169637913
Tsume Inuzuka,0.9758613430273431,0.024138656972656925
Tsunade,0.08982919652487187,0.9101708034751281
Tsunade (young),0.5936905106913805,0.40630948930861954
Udon,0.3444257319224054,0.6555742680775946
Yahiko,0.5,0.5
Yamato,0.5401300120717749,0.4598699879282251
Yodo,0.9880515276698755,0.011948472330124506
Yoshino Nara,0.5,0.5
Yukito Tsujii,0.9758613430273431,0.024138656972656925
Zabuza Momochi,0.2949631035345704,0.7050368964654297
Zetsu,0.9898089037670065,0.01019109623299357
